subset,clase,archivo,participante,mano,toma,frame_original,ruta_original
train,ok,ok_01001.jpg,p1,,gestos_p1_20260914-163555,1,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00001.jpg
train,ok,ok_01002.jpg,p1,,gestos_p1_20260914-163555,2,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00002.jpg
train,ok,ok_01003.jpg,p1,,gestos_p1_20260914-163555,3,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00003.jpg
train,ok,ok_01004.jpg,p1,,gestos_p1_20260914-163555,4,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00004.jpg
train,ok,ok_01005.jpg,p1,,gestos_p1_20260914-163555,5,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00005.jpg
train,ok,ok_01006.jpg,p1,,gestos_p1_20260914-163555,6,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00006.jpg
train,ok,ok_01007.jpg,p1,,gestos_p1_20260914-163555,7,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00007.jpg
train,ok,ok_01008.jpg,p1,,gestos_p1_20260914-163555,8,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00008.jpg
train,ok,ok_01009.jpg,p1,,gestos_p1_20260914-163555,9,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00009.jpg
train,ok,ok_01010.jpg,p1,,gestos_p1_20260914-163555,10,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\ok\ok_00010.jpg
