id,normalizacion,protocolo,pliegue,indice_pliegue,modelo,semilla,accuracy,balanced_accuracy,f1_macro,accuracy_espejado,accuracy_val,n_train,n_val,n_test,tiempo_entrenamiento_s,tiempo_prediccion_test_s,epocas,mejor_epoca,dispositivo
0,ninguna,lopo,p1,0,cnn_baseline,0,0.8986013986013986,0.8980630588910655,0.897541083861369,0.8846153846153846,0.9411764705882353,8008,357,572,129.91281170002185,0.007126300013624132,30.0,10.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
1,ninguna,lopo,p1,0,mlp,0,0.8618881118881119,0.8608270480642206,0.8624881080311968,0.8548951048951049,0.9467787114845938,8008,357,572,183.18628330004867,0.006354900018777698,47.0,27.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
2,ninguna,lopo,p1,0,svm,0,0.8356643356643356,0.8349809795328076,0.8345389202856639,0.8356643356643356,0.9411764705882353,8008,357,572,1.5108474000007845,0.03307539998786524,,,cpu
3,ninguna,lopo,p1,0,logreg,0,0.8706293706293706,0.8697495045291572,0.8697323420019106,0.8566433566433567,0.9187675070028011,8008,357,572,0.2933845999650657,0.0005155999679118395,,,cpu
4,ninguna,lopo,p2,1,cnn_baseline,0,0.9555555555555556,0.9549063600676505,0.954935484217351,0.9435897435897436,0.943502824858757,7968,354,585,134.54999610001687,0.005127899989020079,31.0,11.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
5,ninguna,lopo,p2,1,mlp,0,0.9538461538461539,0.9527616520704077,0.9533184844618358,0.9162393162393162,0.9463276836158192,7968,354,585,269.1627227999852,0.004139199969358742,68.0,48.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
6,ninguna,lopo,p2,1,svm,0,0.9042735042735043,0.9024921601766108,0.9018264598978508,0.8974358974358975,0.9293785310734464,7968,354,585,1.636137299996335,0.03662580001400784,,,cpu
7,ninguna,lopo,p2,1,logreg,0,0.9076923076923077,0.9069333023558879,0.907809590637438,0.8957264957264958,0.9293785310734464,7968,354,585,0.2538120000390336,0.00048809999134391546,,,cpu
8,ninguna,lopo,p3,2,cnn_baseline,0,0.9489795918367347,0.9486783679419909,0.9478133276641715,0.9421768707482994,0.9631728045325779,7960,353,588,159.54123680002522,0.005490300012752414,36.0,16.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
9,ninguna,lopo,p3,2,mlp,0,0.9523809523809523,0.9521147940588294,0.951430800727283,0.9489795918367347,0.9518413597733711,7960,353,588,311.0144994999864,0.0034806999610736966,78.0,58.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
10,ninguna,lopo,p3,2,svm,0,0.9200680272108843,0.9200420043056273,0.9178711065836728,0.9251700680272109,0.9206798866855525,7960,353,588,1.7502689000102691,0.03878050000639632,,,cpu
11,ninguna,lopo,p3,2,logreg,0,0.9302721088435374,0.9300388802818848,0.9291974810682301,0.935374149659864,0.9150141643059491,7960,353,588,0.23473769996780902,0.0006910999654792249,,,cpu
12,ninguna,lopo,p4,3,cnn_baseline,0,0.9682804674457429,0.9683164983164984,0.9682318641005944,0.9616026711185309,0.9490084985835694,7916,353,599,147.14209520001896,0.005801599996630102,33.0,13.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
13,ninguna,lopo,p4,3,mlp,0,0.9782971619365609,0.9782828282828283,0.9781661291869587,0.9666110183639399,0.9291784702549575,7916,353,599,167.87870559998555,0.003972699982114136,42.0,22.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
14,ninguna,lopo,p4,3,svm,0,0.9732888146911519,0.9732659932659934,0.9731707110704978,0.9248747913188647,0.9263456090651558,7916,353,599,1.7335634999908507,0.04340330004924908,,,cpu
15,ninguna,lopo,p4,3,logreg,0,0.9465776293823038,0.9466329966329966,0.946463092162363,0.9515859766277128,0.9206798866855525,7916,353,599,0.2779224999831058,0.0004835999570786953,,,cpu
16,ninguna,lopo,p5,4,cnn_baseline,0,0.7989778534923339,0.7979548291907843,0.7907736829426169,0.8364565587734242,0.9774647887323944,7956,355,587,113.62405530002434,0.0055772000341676176,26.0,6.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
