indice,toma,participante,clase_real,clase_predicha,confianza,frame,ruta,handedness
1676,gestos_p3_20260916-153029,p3,rockandroll,rock,0.9999999,90,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p3_20260916-153029\test\rockandroll\rockandroll_00090.jpg,Left
2190,gestos_p4_20260916-154654,p4,ok,paper,0.9998491,96,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p4_20260916-154654\test\ok\ok_00096.jpg,Right
1481,gestos_p3_20260916-153029,p3,scissors,thumbsup,0.99979657,50,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p3_20260916-153029\train\scissors\scissors_00050.jpg,Left
2655,gestos_p5_20260916-155908,p5,scissors,paper,0.99965835,37,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\train\scissors\scissors_00037.jpg,Right
1119,gestos_p2_20260914-165026,p2,scissors,rockandroll,0.99960905,91,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p2_20260914-165026\test\scissors\scissors_00091.jpg,Left
574,gestos_p2_20260914-165026,p2,ok,scissors,0.9993957,3,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p2_20260914-165026\train\ok\ok_00003.jpg,Right
468,gestos_p1_20260914-163555,p1,rock,ok,0.99935395,86,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\test\rock\rock_00086.jpg,Right
629,gestos_p2_20260914-165026,p2,ok,paper,0.99919885,62,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p2_20260914-165026\train\ok\ok_00062.jpg,Left
2654,gestos_p5_20260916-155908,p5,scissors,paper,0.99910164,36,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\train\scissors\scissors_00036.jpg,Right
2846,gestos_p5_20260916-155908,p5,rockandroll,scissors,0.99777716,76,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\test\rockandroll\rockandroll_00076.jpg,Right
1000,gestos_p2_20260914-165026,p2,ok,scissors,0.99620736,91,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p2_20260914-165026\test\ok\ok_00091.jpg,Right
630,gestos_p2_20260914-165026,p2,ok,rockandroll,0.9954235,63,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p2_20260914-165026\train\ok\ok_00063.jpg,Left
1578,gestos_p3_20260916-153029,p3,ok,paper,0.99359494,79,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p3_20260916-153029\test\ok\ok_00079.jpg,Right
1943,gestos_p4_20260916-154654,p4,rock,paper,0.99353665,59,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p4_20260916-154654\train\rock\rock_00059.jpg,Right
1529,gestos_p3_20260916-153029,p3,thumbsup,paper,0.99154973,29,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p3_20260916-153029\train\thumbsup\thumbsup_00029.jpg,Right
1776,gestos_p4_20260916-154654,p4,ok,rock,0.9910025,32,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p4_20260916-154654\train\ok\ok_00032.jpg,Left
2648,gestos_p5_20260916-155908,p5,scissors,thumbsup,0.9897494,30,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\train\scissors\scissors_00030.jpg,Right
2597,gestos_p5_20260916-155908,p5,rockandroll,paper,0.98695767,49,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\train\rockandroll\rockandroll_00049.jpg,Left
276,gestos_p1_20260914-163555,p1,scissors,rockandroll,0.9867567,14,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\scissors\scissors_00014.jpg,Left
1782,gestos_p4_20260916-154654,p4,ok,rock,0.986498,38,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p4_20260916-154654\train\ok\ok_00038.jpg,Left
1778,gestos_p4_20260916-154654,p4,ok,rock,0.9829616,34,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p4_20260916-154654\train\ok\ok_00034.jpg,Left
1779,gestos_p4_20260916-154654,p4,ok,rock,0.9795989,35,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p4_20260916-154654\train\ok\ok_00035.jpg,Left
2579,gestos_p5_20260916-155908,p5,rockandroll,rock,0.97554225,31,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\train\rockandroll\rockandroll_00031.jpg,Right
1471,gestos_p3_20260916-153029,p3,scissors,rock,0.97454095,40,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p3_20260916-153029\train\scissors\scissors_00040.jpg,Right
2570,gestos_p5_20260916-155908,p5,rockandroll,thumbsup,0.9723752,22,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\train\rockandroll\rockandroll_00022.jpg,Left
615,gestos_p2_20260914-165026,p2,ok,paper,0.97201174,48,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p2_20260914-165026\train\ok\ok_00048.jpg,Left
632,gestos_p2_20260914-165026,p2,ok,paper,0.9630829,65,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p2_20260914-165026\train\ok\ok_00065.jpg,Left
277,gestos_p1_20260914-163555,p1,scissors,ok,0.96162283,15,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\scissors\scissors_00015.jpg,Right
427,gestos_p1_20260914-163555,p1,paper,ok,0.9596842,74,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\test\paper\paper_00074.jpg,Right
2827,gestos_p5_20260916-155908,p5,rock,paper,0.9547506,81,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\test\rock\rock_00081.jpg,Right
1738,gestos_p3_20260916-153029,p3,thumbsup,rock,0.94256204,94,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p3_20260916-153029\test\thumbsup\thumbsup_00094.jpg,Right
91,gestos_p1_20260914-163555,p1,paper,ok,0.93729943,26,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\paper\paper_00026.jpg,Left
1492,gestos_p3_20260916-153029,p3,scissors,rock,0.91701406,61,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p3_20260916-153029\train\scissors\scissors_00061.jpg,Right
292,gestos_p1_20260914-163555,p1,scissors,rock,0.91628337,30,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\scissors\scissors_00030.jpg,Right
184,gestos_p1_20260914-163555,p1,rock,thumbsup,0.9144725,58,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\rock\rock_00058.jpg,Left
2828,gestos_p5_20260916-155908,p5,rock,ok,0.9137121,82,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\test\rock\rock_00082.jpg,Left
157,gestos_p1_20260914-163555,p1,rock,thumbsup,0.91361386,31,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\rock\rock_00031.jpg,Right
1400,gestos_p3_20260916-153029,p3,rockandroll,rock,0.9092485,37,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p3_20260916-153029\train\rockandroll\rockandroll_00037.jpg,Left
183,gestos_p1_20260914-163555,p1,rock,thumbsup,0.90718186,57,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\rock\rock_00057.jpg,Left
631,gestos_p2_20260914-165026,p2,ok,scissors,0.90707195,64,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p2_20260914-165026\train\ok\ok_00064.jpg,Right
552,gestos_p1_20260914-163555,p1,thumbsup,rock,0.90658313,81,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\test\thumbsup\thumbsup_00081.jpg,Left
2351,gestos_p5_20260916-155908,p5,ok,scissors,0.90430236,9,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\train\ok\ok_00009.jpg,Right
2853,gestos_p5_20260916-155908,p5,rockandroll,paper,0.9024095,83,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\test\rockandroll\rockandroll_00083.jpg,Right
2890,gestos_p5_20260916-155908,p5,scissors,ok,0.89170766,90,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\test\scissors\scissors_00090.jpg,Left
2838,gestos_p5_20260916-155908,p5,rock,paper,0.8900953,97,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\test\rock\rock_00097.jpg,Right
2892,gestos_p5_20260916-155908,p5,scissors,ok,0.8859913,92,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\test\scissors\scissors_00092.jpg,Left
