indice,toma,participante,clase_real,clase_predicha,confianza,frame,ruta,handedness
1676,gestos_p3_20260916-153029,p3,rockandroll,rock,1.0,90,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p3_20260916-153029\test\rockandroll\rockandroll_00090.jpg,Left
615,gestos_p2_20260914-165026,p2,ok,paper,0.9996686,48,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p2_20260914-165026\train\ok\ok_00048.jpg,Left
1119,gestos_p2_20260914-165026,p2,scissors,rockandroll,0.9993017,91,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p2_20260914-165026\test\scissors\scissors_00091.jpg,Left
2846,gestos_p5_20260916-155908,p5,rockandroll,scissors,0.9970577,76,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\test\rockandroll\rockandroll_00076.jpg,Right
626,gestos_p2_20260914-165026,p2,ok,rock,0.9901522,59,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p2_20260914-165026\train\ok\ok_00059.jpg,Left
2655,gestos_p5_20260916-155908,p5,scissors,paper,0.9866605,37,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\train\scissors\scissors_00037.jpg,Right
1738,gestos_p3_20260916-153029,p3,thumbsup,rock,0.98383176,94,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p3_20260916-153029\test\thumbsup\thumbsup_00094.jpg,Right
2570,gestos_p5_20260916-155908,p5,rockandroll,thumbsup,0.983751,22,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\train\rockandroll\rockandroll_00022.jpg,Left
1000,gestos_p2_20260914-165026,p2,ok,scissors,0.98284113,91,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p2_20260914-165026\test\ok\ok_00091.jpg,Right
1471,gestos_p3_20260916-153029,p3,scissors,rock,0.9805729,40,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p3_20260916-153029\train\scissors\scissors_00040.jpg,Right
2853,gestos_p5_20260916-155908,p5,rockandroll,paper,0.97740376,83,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\test\rockandroll\rockandroll_00083.jpg,Right
1578,gestos_p3_20260916-153029,p3,ok,paper,0.96263796,79,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p3_20260916-153029\test\ok\ok_00079.jpg,Right
1481,gestos_p3_20260916-153029,p3,scissors,thumbsup,0.9612613,50,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p3_20260916-153029\train\scissors\scissors_00050.jpg,Left
1410,gestos_p3_20260916-153029,p3,rockandroll,scissors,0.9547841,49,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p3_20260916-153029\train\rockandroll\rockandroll_00049.jpg,Left
2654,gestos_p5_20260916-155908,p5,scissors,paper,0.9544381,36,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\train\scissors\scissors_00036.jpg,Right
1778,gestos_p4_20260916-154654,p4,ok,rock,0.9534059,34,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p4_20260916-154654\train\ok\ok_00034.jpg,Left
1779,gestos_p4_20260916-154654,p4,ok,rock,0.9469124,35,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p4_20260916-154654\train\ok\ok_00035.jpg,Left
566,gestos_p1_20260914-163555,p1,thumbsup,rock,0.94300514,95,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\test\thumbsup\thumbsup_00095.jpg,Right
1807,gestos_p4_20260916-154654,p4,ok,paper,0.9333456,63,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p4_20260916-154654\train\ok\ok_00063.jpg,Right
2839,gestos_p5_20260916-155908,p5,rock,ok,0.9305104,98,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\test\rock\rock_00098.jpg,Right
1782,gestos_p4_20260916-154654,p4,ok,rock,0.92251027,38,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p4_20260916-154654\train\ok\ok_00038.jpg,Left
2892,gestos_p5_20260916-155908,p5,scissors,ok,0.92187065,92,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\test\scissors\scissors_00092.jpg,Left
552,gestos_p1_20260914-163555,p1,thumbsup,rock,0.9208866,81,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\test\thumbsup\thumbsup_00081.jpg,Left
468,gestos_p1_20260914-163555,p1,rock,ok,0.9194582,86,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\test\rock\rock_00086.jpg,Right
2885,gestos_p5_20260916-155908,p5,scissors,paper,0.9179986,85,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\test\scissors\scissors_00085.jpg,Left
631,gestos_p2_20260914-165026,p2,ok,scissors,0.9160005,64,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p2_20260914-165026\train\ok\ok_00064.jpg,Right
1492,gestos_p3_20260916-153029,p3,scissors,rock,0.91470385,61,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p3_20260916-153029\train\scissors\scissors_00061.jpg,Right
2579,gestos_p5_20260916-155908,p5,rockandroll,rock,0.9094465,31,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\train\rockandroll\rockandroll_00031.jpg,Right
732,gestos_p2_20260914-165026,p2,rock,scissors,0.8993899,25,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p2_20260914-165026\train\rock\rock_00025.jpg,Right
632,gestos_p2_20260914-165026,p2,ok,paper,0.8969632,65,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p2_20260914-165026\train\ok\ok_00065.jpg,Left
292,gestos_p1_20260914-163555,p1,scissors,rock,0.8963788,30,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\scissors\scissors_00030.jpg,Right
2597,gestos_p5_20260916-155908,p5,rockandroll,paper,0.8958612,49,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\train\rockandroll\rockandroll_00049.jpg,Left
1414,gestos_p3_20260916-153029,p3,rockandroll,thumbsup,0.890712,53,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p3_20260916-153029\train\rockandroll\rockandroll_00053.jpg,Right
