normalizacion,protocolo,modelo,pliegue,accuracy,accuracy_espejado,balanced_accuracy,f1_macro,accuracy_std_sem,n_semillas,n_test,tiempo,epocas
muneca_escala,lopo,cnn_baseline,p1,0.923076923076923,0.923076923076923,0.9231288556706057,0.9228091713626471,0.012237762237762143,3,572,34.79425429999052,29.333333333333332
muneca_escala,lopo,cnn_baseline,p2,0.9498575498575499,0.9498575498575499,0.9490333441946346,0.9482983819404159,0.012366116475333706,3,585,35.329192333330866,29.333333333333332
muneca_escala,lopo,cnn_baseline,p3,0.9518140589569161,0.9518140589569161,0.9514736749641021,0.9506112914443139,0.0009818882129074638,3,588,36.44665283333355,29.666666666666668
muneca_escala,lopo,cnn_baseline,p4,0.9521424596549805,0.9521424596549805,0.9521773288439955,0.951920541097909,0.004819284383886681,3,599,38.88194203336025,32.0
muneca_escala,lopo,cnn_baseline,p5,0.9522998296422487,0.9522998296422487,0.9512199397218124,0.9515645713785564,0.0061423360740442525,3,587,37.866692866644975,32.0
muneca_escala,lopo,logreg,p1,0.8916083916083916,0.8916083916083916,0.8912526478771533,0.8911640465321167,,1,572,0.0973798999912105,
muneca_escala,lopo,logreg,p2,0.8512820512820513,0.8512820512820513,0.8499927766520003,0.850042452147187,,1,585,0.2840017999988049,
muneca_escala,lopo,logreg,p3,0.9421768707482994,0.9421768707482994,0.9418928148162315,0.9404821415905326,,1,588,0.1032118999864906,
muneca_escala,lopo,logreg,p4,0.9716193656093488,0.9716193656093488,0.9716161616161616,0.9714569735119716,,1,599,0.2570731000159867,
muneca_escala,lopo,logreg,p5,0.9574105621805792,0.9574105621805792,0.9565338781069118,0.9567464055040524,,1,587,0.1354528000229038,
muneca_escala,lopo,mlp,p1,0.9236596736596736,0.9236596736596736,0.9237577951166965,0.9234196636087577,0.00994098025013516,3,572,52.54712653334718,49.333333333333336
muneca_escala,lopo,mlp,p2,0.9356125356125355,0.9356125356125355,0.9346476616061871,0.9347608930107446,0.008771968272558698,3,585,59.47678456666957,55.333333333333336
muneca_escala,lopo,mlp,p3,0.9467120181405896,0.9467120181405896,0.9464228227998478,0.945367683023357,0.007080496596823659,3,588,58.2502057000141,53.666666666666664
muneca_escala,lopo,mlp,p4,0.9755147468002227,0.9755147468002227,0.9754938271604939,0.9753814344200921,0.0038554275071093305,3,599,45.59667339998608,42.0
muneca_escala,lopo,mlp,p5,0.959114139693356,0.959114139693356,0.9582748206156445,0.9584229996866082,0.003407155025553582,3,587,47.1961466333402,44.333333333333336
muneca_escala,lopo,svm,p1,0.9166666666666666,0.9166666666666666,0.9170384392372064,0.9166153297587109,0.0010093536174643626,3,572,0.35743296664441004,
muneca_escala,lopo,svm,p2,0.9452991452991452,0.9452991452991452,0.9444866829775852,0.9448874583250445,0.001709401709401745,3,585,0.3504895333511134,
muneca_escala,lopo,svm,p3,0.9512471655328799,0.9512471655328799,0.9508834044916519,0.949901431489518,0.000981888212907528,3,588,0.4495465000315259,
muneca_escala,lopo,svm,p4,0.969949916527546,0.969949916527546,0.96996632996633,0.9698996653036739,0.0,3,599,0.4106355666881427,
muneca_escala,lopo,svm,p5,0.9488926746166951,0.9488926746166951,0.9483055271819317,0.9485997818980477,0.0,3,587,0.32917456664533046,
muneca_escala_rot,lopo,cnn_baseline,p1,0.9294871794871794,0.9294871794871794,0.929387215174069,0.9292757967204507,0.005340997313468291,3,572,29.859338633328054,25.0
muneca_escala_rot,lopo,cnn_baseline,p2,0.9658119658119658,0.9658119658119658,0.9655036775890499,0.9657661969288398,0.007833462726420309,3,585,45.29705620000217,38.0
muneca_escala_rot,lopo,cnn_baseline,p3,0.9773242630385489,0.9773242630385489,0.9772758560191059,0.9772407841835692,0.000981888212907624,3,588,43.164072033347715,37.333333333333336
muneca_escala_rot,lopo,cnn_baseline,p4,0.9816360601001669,0.9816360601001669,0.98162177328844,0.9814750517165249,0.00441694709693576,3,599,35.34738823331039,31.333333333333332
muneca_escala_rot,lopo,cnn_baseline,p5,0.9403747870528109,0.9403747870528109,0.9396807021526121,0.9399302217527653,0.00614233607404418,3,587,31.861265499998506,29.0
muneca_escala_rot,lopo,logreg,p1,0.8811188811188811,0.8811188811188811,0.8802049024143924,0.8808824075940205,,1,572,0.1163361000362783,
muneca_escala_rot,lopo,logreg,p2,0.9247863247863248,0.9264957264957264,0.9240174515722048,0.9235478396451208,,1,585,0.0979498000233434,
muneca_escala_rot,lopo,logreg,p3,0.9625850340136054,0.9642857142857144,0.962390402375675,0.9625850486471444,,1,588,0.3091567999799736,
muneca_escala_rot,lopo,logreg,p4,0.9515859766277128,0.9515859766277128,0.9513636363636364,0.9511443689274758,,1,599,0.1083112999913282,
muneca_escala_rot,lopo,logreg,p5,0.9131175468483816,0.9131175468483816,0.9098036545227556,0.910320803337588,,1,587,0.105280700023286,
muneca_escala_rot,lopo,mlp,p1,0.921911421911422,0.921911421911422,0.9216307643392933,0.9214776232005061,0.02624319405407401,3,572,39.707899266679306,37.0
muneca_escala_rot,lopo,mlp,p2,0.9732193732193734,0.9732193732193734,0.9727446894281425,0.9729786146606175,0.010856158907839013,3,585,66.00282433334117,62.333333333333336
muneca_escala_rot,lopo,mlp,p3,0.9767573696145124,0.9767573696145124,0.9766972740708626,0.9766533294795744,0.0025978320266189566,3,588,60.80055993333614,57.333333333333336
muneca_escala_rot,lopo,mlp,p4,0.9833055091819699,0.9833055091819699,0.9833108866442201,0.9832007313760447,0.0016694490818030122,3,599,45.8900547666708,45.0
muneca_escala_rot,lopo,mlp,p5,0.9398069278818854,0.9398069278818854,0.9389079307431367,0.9393268241328127,0.005204515269682957,3,587,42.61012523336103,45.0
muneca_escala_rot,lopo,svm,p1,0.9265734265734267,0.9289044289044289,0.926465991678862,0.9267105545696795,0.0017482517482518417,3,572,0.228485566660917,
muneca_escala_rot,lopo,svm,p2,0.9378917378917379,0.9378917378917379,0.9366687243268076,0.9373036829650362,0.002611154242140083,3,585,0.25694696667293704,
muneca_escala_rot,lopo,svm,p3,0.9688208616780045,0.9705215419501133,0.9686905169232123,0.9685917191363979,0.000981888212907512,3,588,0.24767403331740442,
muneca_escala_rot,lopo,svm,p4,0.9777406789092932,0.9760712298274902,0.9777441077441077,0.9777465145707166,0.0009638568767772144,3,599,0.2689658333547413,
muneca_escala_rot,lopo,svm,p5,0.9239068710959684,0.9250425894378195,0.9227974501570008,0.9227441221520278,0.002602257634841557,3,587,0.17360499999873957,
