experimento,modelo,normalizacion,espejo,aumentar,voltear,lopo_%,desv_pp,lopo_mano_opuesta_%,semillas
volteo,mlp,muneca_escala_rot,False,3,True,96.48676128830121,1.6456684512038098,96.59356801403555,2
principal,mlp,muneca_escala_rot,False,0,False,96.1853082170643,2.0125761338962898,96.40367103276202,3
volteo,cnn_baseline,muneca_escala_rot,False,3,True,96.17416141367453,2.25447002482935,96.24223935158766,2
aumento,mlp,muneca_escala_rot,False,3,False,96.1045549939086,2.38464150135813,96.2499964830181,2
espejo,mlp,muneca_escala_rot,True,0,False,95.90001203618328,2.67030390071258,95.90001203618328,3
espejo,cnn_baseline,muneca_escala_rot,True,0,False,95.89268510981344,2.29807043469547,95.89268510981344,3
principal,cnn_baseline,muneca_escala_rot,False,0,False,95.7891467396922,2.24882957123517,95.96326335233356,3
aumento,cnn_baseline,muneca_escala_rot,False,3,False,95.7801476876322,2.53866467063105,95.91941977707799,2
volteo,svm,muneca_escala_rot,False,3,True,95.35610961424548,2.3690126467240598,95.37435404438556,2
principal,mlp,muneca_escala,False,0,False,95.15002786115303,1.5539209383314,94.6539310319302,3
espejo,mlp,muneca_escala,True,0,False,94.81226227812756,2.01746739034724,94.81226227812756,3
principal,cnn_baseline,muneca_escala,False,0,False,94.78922083024848,1.51818942664308,94.94613800745991,3
principal,cnn_baseline,muneca,False,0,False,94.77486689091168,1.83290006839073,94.10210470506955,3
principal,svm,muneca_escala_rot,False,0,False,94.73663161254755,2.86569668994261,94.82161243185479,3
espejo,svm,muneca_escala_rot,True,0,False,94.6986715229686,2.4772143654271503,94.7686305602318,3
espejo,svm,muneca_escala,True,0,False,94.64111137285866,1.91676118981403,94.64111137285866,3
aumento,svm,muneca_escala_rot,False,3,False,94.63193897739673,2.6399825352700397,95.01449597044288,2
espejo,cnn_baseline,muneca_escala,True,0,False,94.58381642377236,1.2761643097030402,94.58381642377236,3
principal,mlp,muneca,False,0,False,94.40402034382268,2.85284667785638,94.41995576913837,3
principal,svm,muneca_escala,False,0,False,94.01944271945176,2.1508950403399,94.17163949361887,3
principal,random_forest,muneca_escala_rot,False,0,False,93.4214960515402,4.45818093416988,94.40194598253684,3
espejo,logreg,muneca_escala_rot,True,0,False,92.66387526789812,3.2298654490532,92.73207690752834,1
espejo,logreg,muneca_escala,True,0,False,92.2819448285734,5.01109172851855,92.2819448285734,1
aumento,mlp,ninguna,False,3,False,92.18410734119809,5.38623846809012,91.1971130452326,2
principal,logreg,muneca_escala,False,0,False,92.15257170542304,2.98850112021973,91.46625534802551,1
aumento,cnn_baseline,ninguna,False,3,False,91.76609821707292,5.9338846717719305,91.89263644756656,2
principal,logreg,muneca,False,0,False,91.0933882000306,2.97017316670135,91.2215750938539,1
principal,knn,muneca_escala_rot,False,0,False,91.03857221406751,4.96439079378466,90.32543426289512,1
principal,cnn_baseline,ninguna,False,0,False,90.93729395631934,5.23671802368865,91.3198076652146,3
aumento,logreg,ninguna,False,3,False,90.76839782747193,3.25221933804443,90.81185855893969,2
principal,random_forest,muneca_escala,False,0,False,90.64235200790772,3.86213819240047,90.79369867158512,3
principal,logreg,ninguna,False,0,False,90.36738849945618,4.02496627397862,90.12643715943366,1
principal,mlp,ninguna,False,0,False,90.2577381194294,5.60754497728856,90.10181058292356,3
principal,svm,muneca,False,0,False,90.1695495941999,4.87120963778895,89.48227057573617,3
volteo,logreg,muneca_escala_rot,False,3,True,89.25657782387381,4.07986316521414,89.61856988356537,2
aumento,svm,ninguna,False,3,False,89.0007878146347,6.721811989063251,86.95819979734497,2
aumento,logreg,muneca_escala_rot,False,3,False,88.76730426319199,4.75225117409998,88.31513007934305,2
principal,logreg,muneca_escala_rot,False,0,False,88.54015756326697,5.04846400229629,88.75182438974612,1
principal,knn,muneca_escala,False,0,False,87.99880070753608,4.99129032561918,88.82496706443447,1
principal,svm,ninguna,False,0,False,87.07520201499864,7.67327306832339,84.84119895973026,3
principal,random_forest,muneca,False,0,False,84.02803868424918,7.38114693625994,82.51345950133133,3
principal,random_forest,ninguna,False,0,False,82.6110733553088,9.20013612442631,82.38351923714077,3
principal,knn,muneca,False,0,False,76.7176126357763,10.52151038267701,75.30600010221924,1
principal,knn,ninguna,False,0,False,68.01358349566141,12.1381381349651,66.23488944147086,1
