id,normalizacion,protocolo,pliegue,indice_pliegue,modelo,semilla,accuracy,balanced_accuracy,f1_macro,accuracy_espejado,accuracy_val,n_train,n_val,n_test,tiempo_entrenamiento_s,tiempo_prediccion_test_s,epocas,mejor_epoca,dispositivo
0,ninguna,temporal,unico,0,cnn_baseline,0,0.9316628701594533,0.9311592509050985,0.9311939838862874,0.9202733485193622,0.9665551839464883,1754,299,878,154.96480839996366,0.01230770000256598,104.0,84.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
1,ninguna,temporal,unico,0,mlp,0,0.9339407744874715,0.9337328765683264,0.9339714523374681,0.9179954441913439,0.9498327759197325,1754,299,878,208.81550870003412,0.004714599985163659,172.0,152.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
2,ninguna,temporal,unico,0,svm,0,0.9111617312072893,0.9108832679910851,0.9109113148402752,0.8724373576309795,0.9431438127090301,1754,299,878,0.6549230999662541,0.057481100026052445,,,cpu
3,ninguna,temporal,unico,0,random_forest,0,0.8325740318906606,0.8325031720194919,0.8334506280620991,0.8325740318906606,0.8595317725752508,1754,299,878,1.5397065000142902,0.04268479999154806,,,cpu
4,ninguna,temporal,unico,0,knn,0,0.7220956719817767,0.7220905809363031,0.7250978010593835,0.6924829157175398,0.7658862876254181,1754,299,878,0.2014704000321217,0.1528742000227794,,,cpu
5,ninguna,temporal,unico,0,logreg,0,0.9191343963553531,0.9183854519262636,0.9182799586658611,0.9043280182232346,0.9230769230769231,1754,299,878,0.16429959994275123,0.0009739000233821571,,,cpu
6,ninguna,temporal,unico,0,cnn_baseline,1,0.9191343963553531,0.9192478484713288,0.9189315998906861,0.9328018223234624,0.9632107023411371,1754,299,878,135.6792284999974,0.011969599989242852,86.0,66.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
7,ninguna,temporal,unico,0,mlp,1,0.9305239179954442,0.9302027782212225,0.9302722996553773,0.9066059225512528,0.9431438127090301,1754,299,878,158.18377700005658,0.005746699986048043,117.0,97.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
8,ninguna,temporal,unico,0,svm,1,0.9111617312072893,0.9108682529760701,0.9109348848170283,0.8724373576309795,0.9364548494983278,1754,299,878,0.3250636999728158,0.03908670000964776,,,cpu
9,ninguna,temporal,unico,0,random_forest,1,0.8348519362186788,0.8348948461401385,0.8353069448940986,0.826879271070615,0.8561872909698997,1754,299,878,1.751308800012339,0.035279200004879385,,,cpu
10,ninguna,temporal,unico,0,cnn_baseline,2,0.9305239179954442,0.9300985822986814,0.9299724881418632,0.9339407744874715,0.9498327759197325,1754,299,878,152.70611129997997,0.006258999987039715,99.0,79.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
11,ninguna,temporal,unico,0,mlp,2,0.9373576309794989,0.9370338016424035,0.9371577751032191,0.9191343963553531,0.9632107023411371,1754,299,878,187.79197820002446,0.004414800030644983,146.0,126.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
12,ninguna,temporal,unico,0,svm,2,0.908883826879271,0.9086056486451204,0.9086364457113771,0.8690205011389521,0.939799331103679,1754,299,878,0.4476048999931663,0.04032069997629151,,,cpu
13,ninguna,temporal,unico,0,random_forest,2,0.8314350797266514,0.8312815583436267,0.8320506163002067,0.8246013667425968,0.8695652173913043,1754,299,878,1.977109199971892,0.027923299989197403,,,cpu
14,ninguna,lopo,p1,0,cnn_baseline,0,0.8846153846153846,0.8839620540358858,0.8833205400029364,0.8741258741258742,0.9047619047619048,2002,357,572,74.01498829998309,0.009105200006160885,27.0,7.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
