indice,toma,participante,clase_real,clase_predicha,confianza,frame,ruta,handedness
629,gestos_p2_20260914-165026,p2,ok,paper,1.0,62,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p2_20260914-165026\train\ok\ok_00062.jpg,Left
630,gestos_p2_20260914-165026,p2,ok,paper,1.0,63,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p2_20260914-165026\train\ok\ok_00063.jpg,Left
1676,gestos_p3_20260916-153029,p3,rockandroll,rock,0.99995935,90,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p3_20260916-153029\test\rockandroll\rockandroll_00090.jpg,Left
1119,gestos_p2_20260914-165026,p2,scissors,rockandroll,0.99948186,91,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p2_20260914-165026\test\scissors\scissors_00091.jpg,Left
2190,gestos_p4_20260916-154654,p4,ok,paper,0.99893147,96,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p4_20260916-154654\test\ok\ok_00096.jpg,Right
1000,gestos_p2_20260914-165026,p2,ok,scissors,0.99890614,91,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p2_20260914-165026\test\ok\ok_00091.jpg,Right
2655,gestos_p5_20260916-155908,p5,scissors,paper,0.9988927,37,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\train\scissors\scissors_00037.jpg,Right
468,gestos_p1_20260914-163555,p1,rock,ok,0.9982565,86,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\test\rock\rock_00086.jpg,Right
276,gestos_p1_20260914-163555,p1,scissors,rockandroll,0.998004,14,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\scissors\scissors_00014.jpg,Left
2654,gestos_p5_20260916-155908,p5,scissors,paper,0.9978288,36,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\train\scissors\scissors_00036.jpg,Right
2846,gestos_p5_20260916-155908,p5,rockandroll,scissors,0.99400455,76,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\test\rockandroll\rockandroll_00076.jpg,Right
2648,gestos_p5_20260916-155908,p5,scissors,thumbsup,0.99220276,30,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\train\scissors\scissors_00030.jpg,Right
2579,gestos_p5_20260916-155908,p5,rockandroll,rock,0.9896081,31,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\train\rockandroll\rockandroll_00031.jpg,Right
632,gestos_p2_20260914-165026,p2,ok,paper,0.9871357,65,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p2_20260914-165026\train\ok\ok_00065.jpg,Left
1471,gestos_p3_20260916-153029,p3,scissors,rock,0.98629934,40,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p3_20260916-153029\train\scissors\scissors_00040.jpg,Right
2828,gestos_p5_20260916-155908,p5,rock,ok,0.9831427,82,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\test\rock\rock_00082.jpg,Left
2597,gestos_p5_20260916-155908,p5,rockandroll,paper,0.98281085,49,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\train\rockandroll\rockandroll_00049.jpg,Left
1943,gestos_p4_20260916-154654,p4,rock,paper,0.9791018,59,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p4_20260916-154654\train\rock\rock_00059.jpg,Right
2570,gestos_p5_20260916-155908,p5,rockandroll,thumbsup,0.9777123,22,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\train\rockandroll\rockandroll_00022.jpg,Left
2892,gestos_p5_20260916-155908,p5,scissors,ok,0.9776419,92,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\test\scissors\scissors_00092.jpg,Left
183,gestos_p1_20260914-163555,p1,rock,thumbsup,0.9764215,57,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\rock\rock_00057.jpg,Left
2890,gestos_p5_20260916-155908,p5,scissors,ok,0.97462386,90,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\test\scissors\scissors_00090.jpg,Left
184,gestos_p1_20260914-163555,p1,rock,thumbsup,0.96814346,58,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\rock\rock_00058.jpg,Left
