normalizacion,protocolo,modelo,accuracy,accuracy_espejado,accuracy_std_pliegues,accuracy_min,balanced_accuracy,f1_macro,accuracy_std_semillas,n_pliegues,n_semillas,n_test,tiempo_entrenamiento_s,epocas,ic95_repo,dispersion
ninguna,temporal,cnn_baseline,0.9271070615034169,0.9290053151100987,,0.9271070615034169,0.9268352272250362,0.9266993573062788,0.0069279755470365596,1,3,878,147.7833827333137,96.33333333333333,0.017195566456800117,0.0069279755470365596
ninguna,temporal,mlp,0.9339407744874716,0.9145785876993168,,0.9339407744874716,0.9336564854773175,0.9338005090320215,0.00341685649202729,1,3,878,184.93042130003838,145.0,0.01642991136244399,0.00341685649202729
ninguna,temporal,svm,0.9104024297646164,0.8712984054669705,,0.9104024297646164,0.9101190565374252,0.9101608817895603,0.0013151486769694854,1,3,878,0.4758638999774121,,0.018891812807211177,0.0013151486769694854
ninguna,temporal,random_forest,0.832953682611997,0.8280182232346242,,0.832953682611997,0.8328931921677524,0.8336027297521348,0.0017397781681685327,1,3,878,1.756041499999507,,0.024673893885453338,0.0017397781681685327
ninguna,temporal,knn,0.7220956719817767,0.6924829157175398,,0.7220956719817767,0.7220905809363031,0.7250978010593835,,1,1,878,0.2014704000321217,,0.029631513836900412,
ninguna,temporal,logreg,0.9191343963553532,0.9043280182232346,,0.9191343963553532,0.9183854519262636,0.9182799586658612,,1,1,878,0.1642995999427512,,0.018033508929140494,
muneca,temporal,cnn_baseline,0.9339407744874714,0.9343204252088079,,0.9339407744874714,0.9334425821496902,0.9334603859825528,0.003013384181166941,1,3,878,39.548580900009256,38.0,0.016429911362444014,0.003013384181166941
muneca,temporal,mlp,0.9419134396355354,0.9400151860288535,,0.9419134396355354,0.9414260434367705,0.9414683723339304,0.003416856492027387,1,3,878,102.22318026665987,109.66666666666667,0.01547220248238259,0.003416856492027387
muneca,temporal,svm,0.9119210326499622,0.9286256643887624,,0.9119210326499622,0.9117210134586973,0.911443956286773,0.001739778168168563,1,3,878,0.8817467333477301,,0.01874664419734909,0.001739778168168563
muneca,temporal,random_forest,0.8785117691723614,0.8428246013667425,,0.8785117691723614,0.8779417550466952,0.8782515862403323,0.001739778168168478,1,3,878,3.8974844666663557,,0.02160974833915647,0.001739778168168478
muneca,temporal,knn,0.8496583143507973,0.784738041002278,,0.8496583143507973,0.8486714498647167,0.8501097683373056,,1,1,878,0.0091187000507488,,0.023641263133815604,
muneca,temporal,logreg,0.9259681093394078,0.9111617312072892,,0.9259681093394078,0.9251973141240318,0.9254284340746852,,1,1,878,0.3840057000052184,,0.0173187382555441,
muneca_escala,temporal,cnn_baseline,0.9392558845861806,0.9369779802581624,,0.9392558845861806,0.938697712003926,0.9389380897607426,0.0028663000893207695,1,3,878,36.19049203335695,34.666666666666664,0.01579984701193169,0.0028663000893207695
muneca_escala,temporal,mlp,0.9438116932422173,0.9430523917995445,,0.9438116932422173,0.9431301360346714,0.9431579218158888,0.0036612189677269814,1,3,878,66.91850336670177,71.66666666666667,0.01523261489736284,0.0036612189677269814
muneca_escala,temporal,svm,0.9381169324221715,0.9343204252088079,,0.9381169324221715,0.9372039958576703,0.9371122508770084,0.0006575743384848789,1,3,878,0.7838922333127508,,0.015937610823111504,0.0006575743384848789
muneca_escala,temporal,random_forest,0.9126803340926348,0.9069855732725891,,0.9126803340926348,0.9123566460937304,0.9120110277462335,0.004312003299772369,1,3,878,4.403579133349315,,0.018673434061842548,0.004312003299772369
muneca_escala,temporal,knn,0.9191343963553532,0.8917995444191344,,0.9191343963553532,0.9184618790245028,0.9183644213650378,,1,1,878,0.0065061000059358,,0.018033508929140494,
muneca_escala,temporal,logreg,0.928246013667426,0.908883826879271,,0.928246013667426,0.927361636720009,0.9274403748687042,,1,1,878,0.2920389999635517,,0.017071173513760248,
muneca_escala_rot,temporal,cnn_baseline,0.9426727410782081,0.9483675018982535,,0.9426727410782081,0.94270919050881,0.9429439710799158,0.004741835989672377,1,3,878,34.226196666655596,33.0,0.015376938457244547,0.004741835989672377
muneca_escala_rot,temporal,mlp,0.9552012148823082,0.9559605163249811,,0.9552012148823082,0.954905856599361,0.9549336050709808,0.004603020369393223,1,3,878,45.89939020001717,49.0,0.013683253245242786,0.004603020369393223
muneca_escala_rot,temporal,svm,0.929384965831435,0.9407744874715261,,0.929384965831435,0.9287018438335974,0.9287257283953133,0.0019727230154543162,1,3,878,0.9205146666693812,,0.01694553253409543,0.0019727230154543162
muneca_escala_rot,temporal,random_forest,0.9255884586180714,0.9373576309794989,,0.9255884586180714,0.9247828078911803,0.9244389831945177,0.002370917994836093,1,3,878,4.15756920001392,,0.017359528656488047,0.002370917994836093
muneca_escala_rot,temporal,knn,0.9043280182232346,0.907744874715262,,0.9043280182232346,0.9030009269686856,0.9029471731965018,,1,1,878,0.0069274000125005,,0.0194564764060976,
muneca_escala_rot,temporal,logreg,0.9009111617312072,0.8849658314350797,,0.9009111617312072,0.8993047038878963,0.898841251394089,,1,1,878,0.3416151000419631,,0.019763422978669586,
ninguna,lopo,cnn_baseline,0.9093729395631934,0.913198076652146,0.052367180236886586,0.8330494037478705,0.9087753370996575,0.9073657686853555,0.01262361486546463,5,3,2931,82.4196078800053,62.8,0.010393172181826199,0.052367180236886586
ninguna,lopo,mlp,0.9025773811942941,0.9010181058292355,0.056075449772885644,0.8344988344988344,0.9019256716843789,0.8998433274599591,0.006325772396373018,5,3,2931,134.6757114866671,116.93333333333332,0.01073545077318187,0.056075449772885644
ninguna,lopo,svm,0.8707520201499864,0.8484119895973026,0.07673273068323398,0.7688813174332766,0.8699398978926093,0.865190967431625,0.0016358736575322215,5,3,2931,0.991115220003606,,0.012145273226708374,0.07673273068323398
ninguna,lopo,random_forest,0.8261107335530881,0.8238351923714078,0.09200136124426314,0.6899488926746167,0.8260181215964637,0.8210365677455721,0.004829041566436513,5,3,2931,3.4269651266746224,,0.013721566108024951,0.09200136124426314
ninguna,lopo,knn,0.680135834956614,0.6623488944147086,0.12138138134965103,0.5229982964224872,0.6802297200251816,0.6728313460430405,,5,1,2931,0.0398643399938009,,0.016886077762110565,0.12138138134965103
ninguna,lopo,logreg,0.9036738849945618,0.9012643715943366,0.04024966273978626,0.8636363636363636,0.9031931060908936,0.9025331317778287,,5,1,2931,0.2102342999889515,,0.010681347651253273,0.04024966273978626
muneca,lopo,cnn_baseline,0.9477486689091169,0.9410210470506957,0.01832900068390735,0.9172494172494172,0.947392744037858,0.9472334683297177,0.005401960937964181,5,3,2931,53.58140865333068,45.0,0.008056444747003625,0.01832900068390735
muneca,lopo,mlp,0.9440402034382267,0.9441995576913838,0.028528466778563844,0.8962703962703963,0.9435344724855392,0.9433652476169734,0.005180933763926974,5,3,2931,78.41513339333468,73.4,0.008321113973236425,0.028528466778563844
muneca,lopo,svm,0.901695495941999,0.8948227057573617,0.04871209637788959,0.8301994301994302,0.901526934671544,0.9024924426224011,0.001294012306459417,5,3,2931,1.2542747533336902,,0.010778661184759081,0.04871209637788959
muneca,lopo,random_forest,0.8402803868424918,0.8251345950133132,0.07381146936259943,0.752913752913753,0.839840581159008,0.8356535123179963,0.0051432985685310436,5,3,2931,4.684665559988934,,0.013262927643491216,0.07381146936259943
muneca,lopo,knn,0.7671761263577631,0.7530600010221924,0.1052151038267701,0.6433566433566433,0.7668712217055402,0.7580161135492626,,5,1,2931,0.00649974001571532,,0.015300635076286165,0.1052151038267701
muneca,lopo,logreg,0.910933882000306,0.912215750938539,0.02970173166701359,0.8688811188811189,0.9103664112505973,0.9099621696046434,,5,1,2931,0.4795422999886796,,0.010312117477713371,0.02970173166701359
muneca_escala,lopo,cnn_baseline,0.9478922083024848,0.949461380074599,0.015181894266430837,0.921911421911422,0.9474298855264911,0.9473068752636469,0.00491157051947645,5,3,2931,44.30128460667329,37.13333333333333,0.008045980450253364,0.015181894266430837
muneca_escala,lopo,mlp,0.9515002786115303,0.946539310319302,0.015539209383314004,0.9254079254079256,0.951101468950981,0.9509323955757454,0.005111865094210125,5,3,2931,68.7440897666694,64.2,0.00777718166995181,0.015539209383314004
muneca_escala,lopo,svm,0.9401944271945177,0.9417163949361889,0.02150895040339901,0.9026806526806528,0.9396128811616183,0.9395167299080741,0.0007938975297564967,5,3,2931,0.95253764000178,,0.008584753424028967,0.02150895040339901
muneca_escala,lopo,random_forest,0.9064235200790772,0.9079369867158512,0.03862138192400473,0.861888111888112,0.9058438542573354,0.9050200015938646,0.0023170452556395328,5,3,2931,5.2674676466616805,,0.010543798493101057,0.03862138192400473
muneca_escala,lopo,knn,0.8799880070753607,0.8882496706443448,0.049912903256191896,0.8164335664335665,0.8793140493162918,0.8785812132554094,,5,1,2931,0.00980111998505886,,0.011765187766769845,0.049912903256191896
muneca_escala,lopo,logreg,0.9215257170542305,0.9146625534802553,0.02988501120219739,0.8898601398601399,0.9209636091035703,0.9204838968411956,,5,1,2931,0.29193226000061256,,0.009735663842506855,0.02988501120219739
muneca_escala_rot,lopo,cnn_baseline,0.9578914673969219,0.9596326335233355,0.022488295712351718,0.925610448608745,0.9571714551326285,0.9572648153680003,0.00666009352256247,5,3,2931,39.415103346656544,33.2,0.007270953516586402,0.022488295712351718
muneca_escala_rot,lopo,mlp,0.961853082170643,0.9640367103276202,0.020125761338962926,0.9375354911981829,0.9614701855812277,0.9614913018066662,0.005123532432472837,5,3,2931,46.1165462133203,46.93333333333334,0.006934773158579935,0.020125761338962926
muneca_escala_rot,lopo,svm,0.9473663161254755,0.9482161243185478,0.028656966899426102,0.9108391608391608,0.9467849732203352,0.9470359926956352,0.0005904745371141619,5,3,2931,0.9536976600104632,,0.008084236602599259,0.028656966899426102
muneca_escala_rot,lopo,random_forest,0.934214960515402,0.9440194598253683,0.04458180934169885,0.8693923906871096,0.9329037821021832,0.9327292353395155,0.003618497502845981,5,3,2931,4.313340413325932,,0.008975014127749998,0.04458180934169885
muneca_escala_rot,lopo,knn,0.9103857221406753,0.9032543426289512,0.049643907937846656,0.838160136286201,0.9092359617640771,0.9095948314911892,,5,1,2931,0.00979827999835826,,0.010340689215998178,0.049643907937846656
muneca_escala_rot,lopo,logreg,0.8854015756326697,0.8875182438974611,0.050484640022962976,0.8194207836456558,0.8832280472089034,0.8819713145944086,,5,1,2931,0.3608400599914603,,0.011532079578568192,0.050484640022962976
