indice,toma,participante,clase_real,clase_predicha,confianza,frame,ruta,handedness
629,gestos_p2_20260914-165026,p2,ok,scissors,1.0,62,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p2_20260914-165026\train\ok\ok_00062.jpg,Left
630,gestos_p2_20260914-165026,p2,ok,scissors,1.0,63,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p2_20260914-165026\train\ok\ok_00063.jpg,Left
1676,gestos_p3_20260916-153029,p3,rockandroll,rock,1.0,90,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p3_20260916-153029\test\rockandroll\rockandroll_00090.jpg,Left
276,gestos_p1_20260914-163555,p1,scissors,rockandroll,0.9999943,14,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p1_20260914-163555\train\scissors\scissors_00014.jpg,Left
1000,gestos_p2_20260914-165026,p2,ok,scissors,0.99951327,91,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p2_20260914-165026\test\ok\ok_00091.jpg,Right
1119,gestos_p2_20260914-165026,p2,scissors,rockandroll,0.9994128,91,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p2_20260914-165026\test\scissors\scissors_00091.jpg,Left
2655,gestos_p5_20260916-155908,p5,scissors,paper,0.999191,37,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\train\scissors\scissors_00037.jpg,Right
2654,gestos_p5_20260916-155908,p5,scissors,paper,0.9990791,36,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\train\scissors\scissors_00036.jpg,Right
2570,gestos_p5_20260916-155908,p5,rockandroll,thumbsup,0.99893314,22,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\train\rockandroll\rockandroll_00022.jpg,Left
2846,gestos_p5_20260916-155908,p5,rockandroll,scissors,0.99842453,76,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p5_20260916-155908\test\rockandroll\rockandroll_00076.jpg,Right
1471,gestos_p3_20260916-153029,p3,scissors,rock,0.9983004,40,C:\Users\Javier\PIDS_HandPose\kit-grabacion\HAR_mediapipe\data\gestos_p3_20260916-153029\train\scissors\scissors_00040.jpg,Right
