normalizacion,protocolo,modelo,pliegue,accuracy,accuracy_espejado,balanced_accuracy,f1_macro,accuracy_std_sem,n_semillas,n_test,tiempo,epocas
muneca_escala_rot,lopo,cnn_baseline,p1,0.9326923076923077,0.9309440559440558,0.9322375254348747,0.9324306002779132,0.016070608663330495,2,572,94.63063390000025,21.5
muneca_escala_rot,lopo,cnn_baseline,p2,0.9752136752136753,0.9777777777777776,0.9744429704107124,0.974761797502737,0.0012087295404897812,2,585,109.63835159997689,25.0
muneca_escala_rot,lopo,cnn_baseline,p3,0.979591836734694,0.9804421768707483,0.9795464108792533,0.9795083039707739,0.0024051251060766164,2,588,165.07931765000103,38.5
muneca_escala_rot,lopo,cnn_baseline,p4,0.9791318864774624,0.9774624373956594,0.9791329966329967,0.9790900062746521,0.005902393832942934,2,599,107.88382299998192,24.5
muneca_escala_rot,lopo,cnn_baseline,p5,0.9420783645655877,0.9454855195911414,0.9409347217493282,0.9411954643388499,0.007227667269368464,2,587,119.00947620003717,27.5
muneca_escala_rot,lopo,logreg,p1,0.8951048951048951,0.9055944055944056,0.8934595569587884,0.8938633113328769,0.0024724013328201303,2,572,0.27453689998947084,
muneca_escala_rot,lopo,logreg,p2,0.8965811965811966,0.888034188034188,0.8957980794646432,0.8948323079665778,0.0012087295404898206,2,585,0.2471601999714039,
muneca_escala_rot,lopo,logreg,p3,0.951530612244898,0.947278911564626,0.9512220174959497,0.9515606501580958,0.003607687659115003,2,588,0.2698182500025723,
muneca_escala_rot,lopo,logreg,p4,0.8823038397328882,0.8839732888146912,0.8821464646464645,0.8813049655161194,0.0011804787665885554,2,599,0.29102979999152007,
muneca_escala_rot,lopo,logreg,p5,0.8373083475298126,0.8560477001703577,0.8277924374834487,0.8183260614314917,0.00120461121156145,2,587,0.21777779998956245,
muneca_escala_rot,lopo,mlp,p1,0.9484265734265734,0.9571678321678321,0.948169445951366,0.9483015543740347,0.0037086019992301172,2,572,173.2370365000097,44.0
muneca_escala_rot,lopo,mlp,p2,0.9683760683760683,0.9752136752136751,0.9674896895905021,0.9679390028502972,0.003626188621469344,2,585,325.8890998000279,91.0
muneca_escala_rot,lopo,mlp,p3,0.9770408163265307,0.9770408163265307,0.9769778576847796,0.9769600784254444,0.001202562553038426,2,588,184.15440749999834,49.0
muneca_escala_rot,lopo,mlp,p4,0.98330550918197,0.9841402337228714,0.9833164983164984,0.9831991080632726,0.004721915066354222,2,599,151.10230915001011,43.0
muneca_escala_rot,lopo,mlp,p5,0.9471890971039182,0.9361158432708687,0.9463046192259674,0.9466492842209562,0.0024092224231228214,2,587,168.1607600999996,45.5
muneca_escala_rot,lopo,svm,p1,0.9370629370629372,0.9379370629370628,0.9371338778070224,0.9371258167834497,0.0,2,572,1.242613349983003,
muneca_escala_rot,lopo,svm,p2,0.9495726495726495,0.9461538461538461,0.9485106218521109,0.9491299106250476,0.0036261886214694226,2,585,1.4025180500175338,
muneca_escala_rot,lopo,svm,p3,0.9736394557823129,0.9744897959183674,0.9735587872553999,0.9734894089222488,0.003607687659115121,2,588,1.4536225000047125,
muneca_escala_rot,lopo,svm,p4,0.9816360601001668,0.9791318864774624,0.9816498316498316,0.9816097172780835,0.0,2,599,1.3252590500051156,
muneca_escala_rot,lopo,svm,p5,0.925894378194208,0.9310051107325383,0.9251979533159308,0.9247887559646537,0.006023056057807014,2,587,1.351978449994931,
